algorithm,pivot,dataset,size,run,time_s,peak_mem_bytes,comparisons,swaps,seed
merge,,sorted,1000,1,0.0021214999724179506,27377664,4932,0,42
merge,,sorted,1000,2,0.002018792030867189,27508736,4932,0,42
merge,,sorted,1000,3,0.0020350830163806677,27508736,4932,0,42
merge,,sorted,1000,4,0.002002707973588258,27508736,4932,0,42
merge,,sorted,1000,5,0.0019570000004023314,27508736,4932,0,42
merge,,sorted,5000,1,0.01232716697268188,27770880,29804,0,42
merge,,sorted,5000,2,0.011838499980513006,27951104,29804,0,42
merge,,sorted,5000,3,0.012822457996662706,27951104,29804,0,42
merge,,sorted,5000,4,0.01191929099150002,27951104,29804,0,42
merge,,sorted,5000,5,0.011811083008069545,27951104,29804,0,42
merge,,sorted,10000,1,0.025187874969560653,28016640,64608,0,42
merge,,sorted,10000,2,0.025747000006958842,28409856,64608,0,42
merge,,sorted,10000,3,0.02543825004249811,28409856,64608,0,42
merge,,sorted,10000,4,0.025632207980379462,28409856,64608,0,42
merge,,sorted,10000,5,0.0258330840151757,28409856,64608,0,42
merge,,sorted,50000,1,0.14894849999109283,31047680,382512,0,42
merge,,sorted,50000,2,0.14997875003609806,33275904,382512,0,42
merge,,sorted,50000,3,0.14839649997884408,33701888,382512,0,42
merge,,sorted,50000,4,0.14835204201517627,33701888,382512,0,42
merge,,sorted,50000,5,0.15029254101682454,33701888,382512,0,42
merge,,reverse,1000,1,0.0018516660202294588,33701888,5044,0,42
merge,,reverse,1000,2,0.0021191250416450202,33701888,5044,0,42
merge,,reverse,1000,3,0.0018385000294074416,33701888,5044,0,42
merge,,reverse,1000,4,0.001818082993850112,33701888,5044,0,42
merge,,reverse,1000,5,0.0018462910084053874,33701888,5044,0,42
merge,,reverse,5000,1,0.011773791979067028,33701888,32004,0,42
merge,,reverse,5000,2,0.012239834002684802,33701888,32004,0,42
merge,,reverse,5000,3,0.01261299999896437,33701888,32004,0,42
merge,,reverse,5000,4,0.011806958995293826,33701888,32004,0,42
merge,,reverse,5000,5,0.01208491699071601,33718272,32004,0,42
merge,,reverse,10000,1,0.025842334027402103,33718272,69008,0,42
merge,,reverse,10000,2,0.02584487496642396,33718272,69008,0,42
merge,,reverse,10000,3,0.025578833010513335,33718272,69008,0,42
merge,,reverse,10000,4,0.025737208023201674,33718272,69008,0,42
merge,,reverse,10000,5,0.029875334003008902,33718272,69008,0,42
merge,,reverse,50000,1,0.15026045800186694,33718272,401952,0,42
merge,,reverse,50000,2,0.1499786659842357,34127872,401952,0,42
merge,,reverse,50000,3,0.15061812498606741,34308096,401952,0,42
merge,,reverse,50000,4,0.15113937499700114,35225600,401952,0,42
merge,,reverse,50000,5,0.14968479197705165,35225600,401952,0,42
merge,,random,1000,1,0.0025072909775190055,35225600,8704,0,42
merge,,random,1000,2,0.0023767920210957527,35241984,8709,0,42
merge,,random,1000,3,0.0023880410008132458,35241984,8733,0,42
merge,,random,1000,4,0.0023984580184333026,35241984,8721,0,42
merge,,random,1000,5,0.0024005830055102706,35241984,8722,0,42
merge,,random,5000,1,0.01854862499749288,35291136,55192,0,42
merge,,random,5000,2,0.017533040954731405,35291136,55289,0,42
merge,,random,5000,3,0.017720375035423785,35291136,55157,0,42
merge,,random,5000,4,0.018087790987920016,35291136,55229,0,42
merge,,random,5000,5,0.017751957988366485,35291136,55238,0,42
merge,,random,10000,1,0.03925045795040205,35291136,120383,0,42
merge,,random,10000,2,0.038985125022009015,35291136,120541,0,42
merge,,random,10000,3,0.038622999971266836,35291136,120377,0,42
merge,,random,10000,4,0.03842774999793619,35291136,120483,0,42
merge,,random,10000,5,0.04032808297779411,35291136,120458,0,42
merge,,random,50000,1,0.23875133303226903,35291136,718059,0,42
merge,,random,50000,2,0.2536881669657305,35291136,718283,0,42
merge,,random,50000,3,0.24497704196255654,35291136,718196,0,42
merge,,random,50000,4,0.24405887501779944,35291136,718008,0,42
merge,,random,50000,5,0.24499149998882785,35291136,718125,0,42
quick,random,sorted,1000,1,0.0030081250006332994,35291136,10259,1330,42
quick,random,sorted,1000,2,0.0035682080197148025,35291136,11338,1326,42
quick,random,sorted,1000,3,0.003412832971662283,35307520,10797,1330,42
quick,random,sorted,1000,4,0.0031214170157909393,35307520,10363,1336,42
quick,random,sorted,1000,5,0.003278666001278907,35323904,10886,1304,42
quick,random,sorted,5000,1,0.024488958006259054,35356672,72518,6624,42
quick,random,sorted,5000,2,0.024685374984983355,35356672,71264,6614,42
quick,random,sorted,5000,3,0.024191041011363268,35356672,70245,6660,42
quick,random,sorted,5000,4,0.024081167008262128,35356672,69893,6678,42
quick,random,sorted,5000,5,0.02684320800472051,35356672,76264,6660,42
quick,random,sorted,10000,1,0.05551433301297948,35356672,153731,13300,42
quick,random,sorted,10000,2,0.12189683300675824,35356672,153411,13392,42
quick,random,sorted,10000,3,0.05746329098474234,35356672,149913,13312,42
quick,random,sorted,10000,4,0.053458624985069036,35356672,155820,13316,42
quick,random,sorted,10000,5,0.05732291704043746,35356672,163131,13370,42
quick,random,sorted,50000,1,0.33408900001086295,35389440,931644,66578,42
quick,random,sorted,50000,2,0.3227087499690242,36995072,918749,66618,42
quick,random,sorted,50000,3,0.31799370801309124,38600704,923548,66566,42
quick,random,sorted,50000,4,0.31772020901553333,40189952,912684,66546,42
quick,random,sorted,50000,5,0.34185404202435166,42205184,981972,66720,42
quick,random,reverse,1000,1,0.003801874991040677,42631168,10807,4578,42
quick,random,reverse,1000,2,0.003730209020432085,42680320,10548,5364,42
quick,random,reverse,1000,3,0.004188125021755695,42696704,11958,4168,42
quick,random,reverse,1000,4,0.0035962500260211527,42745856,10036,4314,42
quick,random,reverse,1000,5,0.00395670800935477,42762240,11398,4628,42
quick,random,reverse,5000,1,0.027972667012363672,42909696,72371,32147,42
quick,random,reverse,5000,2,0.029399958031717688,43089920,73416,32422,42
quick,random,reverse,5000,3,0.027857459033839405,43237376,71148,28405,42
quick,random,reverse,5000,4,0.0265330410329625,43401216,72542,25530,42
quick,random,reverse,5000,5,0.028355417016427964,43565056,71554,29920,42
quick,random,reverse,10000,1,0.06494354200549424,43876352,159503,75000,42
quick,random,reverse,10000,2,0.05984400003217161,44204032,152483,65437,42
quick,random,reverse,10000,3,0.05797800002619624,44531712,150136,60439,42
quick,random,reverse,10000,4,0.05647895799484104,44843008,147746,58868,42
quick,random,reverse,10000,5,0.06074008397990838,45154304,154615,63255,42
quick,random,reverse,50000,1,0.404006999975536,46956544,1007200,381522,42
quick,random,reverse,50000,2,0.41199312498793006,49364992,900772,419441,42
quick,random,reverse,50000,3,0.41378433303907514,51380224,916398,373923,42
quick,random,reverse,50000,4,0.36606437497539446,53379072,901829,354775,42
quick,random,reverse,50000,5,0.36376620800001547,51216384,928181,376034,42
quick,random,random,1000,1,0.004717832955066115,50167808,10943,6607,42
quick,random,random,1000,2,0.004074750002473593,50167808,11005,5805,42
quick,random,random,1000,3,0.0037971670390106738,50167808,10882,5423,42
quick,random,random,1000,4,0.003589916042983532,50167808,10257,5671,42
quick,random,random,1000,5,0.0036479169502854347,50167808,10314,5466,42
quick,random,random,5000,1,0.027913208003155887,50167808,73097,32409,42
quick,random,random,5000,2,0.03489841701230034,50167808,81031,47967,42
quick,random,random,5000,3,0.02800733404001221,50167808,67513,37016,42
quick,random,random,5000,4,0.02876625000499189,50167808,69688,37771,42
quick,random,random,5000,5,0.02946608402999118,50167808,69611,38726,42
quick,random,random,10000,1,0.06612608296563849,50167808,159616,84151,42
quick,random,random,10000,2,0.06261195801198483,50167808,153160,79610,42
quick,random,random,10000,3,0.06312591704772785,50167808,153445,81903,42
quick,random,random,10000,4,0.0607747079920955,50167808,147748,77837,42
quick,random,random,10000,5,0.06256787496386096,50167808,153895,76890,42
quick,random,random,50000,1,0.3960714170243591,50167808,910735,473452,42
quick,random,random,50000,2,0.41475808300310746,50167808,999998,473471,42
quick,random,random,50000,3,0.3868979999679141,50167808,899608,451338,42
quick,random,random,50000,4,0.3962425000499934,50626560,921631,503841,42
quick,random,random,50000,5,0.4105017920373939,51036160,945001,492238,42
